899,3,,
KSL,Tem,Hum,R
0.099 ,32.66 ,42.25 ,0.214 
0.096 ,31.09 ,42.87 ,0.234 
0.065 ,28.29 ,40.55 ,0.152 
0.074 ,26.49 ,49.73 ,0.156 
0.093 ,25.27 ,62.04 ,0.154 
0.114 ,25.27 ,62.04 ,0.125 
0.105 ,24.60 ,74.35 ,0.099 
0.101 ,24.06 ,80.14 ,0.123 
0.120 ,25.02 ,75.82 ,0.167 
0.100 ,32.57 ,47.53 ,0.276 
0.073 ,32.80 ,37.17 ,0.181 
0.072 ,32.43 ,41.86 ,0.162 
0.062 ,31.23 ,39.99 ,0.160 
0.066 ,29.90 ,42.63 ,0.182 
0.075 ,27.73 ,47.89 ,0.182 
0.087 ,26.19 ,58.27 ,0.195 
0.106 ,26.19 ,58.27 ,0.115 
0.112 ,24.19 ,71.31 ,0.169 
0.109 ,23.72 ,73.97 ,0.133 
0.105 ,23.71 ,75.24 ,0.181 
0.078 ,28.65 ,59.02 ,0.175 
0.058 ,38.97 ,31.38 ,0.166 
0.049 ,37.53 ,28.91 ,0.146 
0.046 ,35.76 ,29.32 ,0.154 
0.060 ,34.07 ,35.50 ,0.175 
0.071 ,31.03 ,42.89 ,0.213 
0.072 ,28.27 ,52.64 ,0.194 
0.083 ,26.36 ,69.38 ,0.171 
0.093 ,26.36 ,69.38 ,0.137 
0.092 ,25.24 ,83.29 ,0.110 
0.094 ,25.25 ,85.14 ,0.107 
0.102 ,26.32 ,81.19 ,0.150 
0.082 ,31.34 ,58.46 ,0.161 
0.061 ,35.00 ,40.14 ,0.172 
0.058 ,33.40 ,41.48 ,0.189 
0.056 ,31.95 ,44.44 ,0.163 
0.065 ,29.86 ,54.44 ,0.138 
0.065 ,27.90 ,67.21 ,0.162 
0.056 ,26.97 ,75.67 ,0.140 
0.051 ,26.97 ,75.67 ,0.146 
0.050 ,26.92 ,80.37 ,0.107 
0.048 ,27.11 ,82.66 ,0.085 
0.057 ,27.21 ,82.51 ,0.136 
0.072 ,28.12 ,78.83 ,0.216 
0.051 ,26.31 ,92.88 ,0.058 
0.050 ,26.50 ,93.36 ,0.077 
0.062 ,26.31 ,94.03 ,0.080 
0.063 ,26.31 ,94.71 ,0.060 
0.100 ,26.31 ,94.65 ,0.068 
0.107 ,26.31 ,94.39 ,0.055 
0.062 ,26.31 ,94.39 ,0.027 
0.087 ,26.31 ,94.02 ,0.041 
0.186 ,26.31 ,93.76 ,0.056 
0.252 ,27.39 ,91.23 ,0.076 
0.196 ,31.07 ,76.35 ,0.144 
0.086 ,35.27 ,59.01 ,0.120 
0.068 ,36.27 ,54.53 ,0.146 
0.066 ,35.59 ,55.16 ,0.131 
0.054 ,31.02 ,73.51 ,0.147 
0.051 ,27.78 ,91.77 ,0.058 
0.067 ,27.20 ,94.06 ,0.079 
0.116 ,27.20 ,94.06 ,0.083 
0.146 ,27.21 ,91.20 ,0.125 
0.193 ,27.21 ,92.18 ,0.113 
0.197 ,27.21 ,92.18 ,0.194 
0.162 ,27.94 ,86.95 ,0.253 
0.191 ,29.08 ,81.88 ,0.230 
0.306 ,28.79 ,88.17 ,0.121 
0.210 ,28.34 ,88.38 ,0.218 
0.149 ,28.96 ,84.05 ,0.182 
0.086 ,28.26 ,84.46 ,0.150 
0.073 ,27.86 ,85.53 ,0.118 
0.084 ,27.21 ,86.44 ,0.107 
0.053 ,27.21 ,86.44 ,0.058 
0.055 ,25.93 ,93.69 ,0.012 
0.037 ,25.25 ,93.52 ,0.011 
0.031 ,25.30 ,92.13 ,0.042 
0.035 ,26.30 ,89.51 ,0.060 
0.036 ,27.01 ,83.36 ,0.094 
0.038 ,27.21 ,85.97 ,0.119 
0.047 ,44.83 ,35.14 ,0.074 
0.043 ,43.09 ,36.24 ,0.085 
0.043 ,43.75 ,37.62 ,0.091 
0.069 ,46.96 ,36.09 ,0.139 
0.049 ,45.69 ,32.91 ,0.094 
0.050 ,42.87 ,37.08 ,0.096 
0.034 ,41.05 ,38.08 ,0.077 
0.064 ,43.96 ,36.75 ,0.141 
0.009 ,44.23 ,36.55 ,0.052 
0.013 ,42.43 ,40.39 ,0.066 
0.016 ,40.50 ,45.82 ,0.085 
0.064 ,39.62 ,54.85 ,0.134 
0.066 ,41.77 ,45.79 ,0.147 
0.117 ,34.01 ,35.49 ,0.590 
0.120 ,32.07 ,38.24 ,0.531 
0.128 ,30.52 ,44.25 ,0.414 
0.134 ,29.29 ,52.14 ,0.477 
0.122 ,42.38 ,26.36 ,0.562 
0.127 ,40.76 ,29.61 ,0.644 
0.126 ,38.11 ,34.25 ,0.576 
0.121 ,35.26 ,42.92 ,0.618 
0.136 ,33.74 ,43.86 ,0.568 
0.115 ,33.33 ,49.01 ,0.490 
0.125 ,28.67 ,79.74 ,0.474 
0.126 ,29.32 ,75.58 ,0.400 
0.116 ,29.76 ,74.53 ,0.412 
0.084 ,28.55 ,79.96 ,0.088 
0.158 ,43.83 ,26.99 ,0.328 
0.127 ,43.06 ,23.97 ,0.303 
0.118 ,40.59 ,25.77 ,0.272 
0.110 ,37.85 ,31.02 ,0.284
0.166 ,36.84 ,35.15 ,0.380 
0.140 ,35.94 ,37.63 ,0.373 
0.169 ,33.60 ,55.99 ,0.388 
0.158 ,34.26 ,55.46 ,0.401 
0.134 ,34.76 ,52.06 ,0.342 
0.131 ,34.19 ,52.35 ,0.326 
0.194 ,32.73 ,55.00 ,0.676 
0.097 ,41.28 ,26.85 ,0.559 
0.090 ,36.60 ,33.36 ,0.508 
0.110 ,30.93 ,46.25 ,0.627 
0.112 ,30.11 ,48.86 ,0.622
0.129 ,28.95 ,50.83 ,0.688 
0.116 ,31.65 ,52.69 ,0.620 
0.145 ,34.52 ,44.59 ,0.738 
0.150 ,32.65 ,48.48 ,0.752 
0.149 ,30.29 ,54.76 ,0.735 
0.132 ,28.63 ,58.23 ,0.798 
0.145 ,27.96 ,62.16 ,0.573 
0.117 ,28.44 ,49.98 ,0.820 
0.115 ,29.41 ,44.39 ,0.763 
0.080 ,28.66 ,44.73 ,0.451 
0.092 ,28.35 ,44.84 ,0.696 
0.103 ,28.90 ,43.89 ,0.760 
0.117 ,28.38 ,43.75 ,0.849 
0.117 ,28.43 ,49.95 ,0.738 
0.116 ,29.39 ,44.47 ,0.650 
0.080 ,28.70 ,44.68 ,0.560 
0.093 ,28.35 ,44.84 ,0.705 
0.101 ,28.91 ,43.91 ,0.616 
0.115 ,28.47 ,43.71 ,0.650 
0.168 ,32.95 ,38.59 ,0.826 
0.142 ,36.42 ,30.71 ,0.745 
0.143 ,33.30 ,33.90 ,0.663 
0.147 ,30.74 ,37.79 ,0.746 
0.169 ,29.72 ,39.27 ,0.835 
0.154 ,28.34 ,42.16 ,1.030 
0.137 ,26.57 ,46.25 ,0.781 
0.273 ,29.39 ,47.46 ,0.558 
0.267 ,33.42 ,38.95 ,0.662 
0.284 ,31.32 ,41.71 ,0.721 
0.298 ,31.44 ,40.69 ,0.464 
0.286 ,29.75 ,43.30 ,0.505 
0.266 ,29.04 ,45.31 ,0.464 
0.234 ,28.24 ,45.41 ,0.529 
0.106 ,28.39 ,43.58 ,0.576 
0.120 ,25.53 ,49.69 ,0.557 
0.118 ,25.26 ,51.25 ,0.462 
0.112 ,26.28 ,46.25 ,0.441 
0.108 ,26.08 ,47.10 ,0.423 
0.112 ,24.74 ,49.12 ,0.352 
0.094 ,38.22 ,22.19 ,0.550 
0.089 ,33.44 ,26.73 ,0.500 
0.091 ,28.21 ,33.55 ,0.471 
0.161 ,27.50 ,35.88 ,0.637 
0.178 ,27.87 ,35.58 ,1.167 
0.165 ,26.09 ,39.70 ,0.933 
0.094 ,36.78 ,25.17 ,0.437 
0.114 ,36.95 ,22.58 ,0.469 
0.105 ,29.36 ,31.63 ,0.574 
0.147 ,27.84 ,34.97 ,0.873 
0.193 ,27.42 ,36.29 ,1.124 
0.120 ,27.53 ,36.66 ,0.912 
0.297 ,28.21 ,33.55 ,1.370 
0.289 ,27.50 ,35.88 ,1.350 
0.329 ,27.87 ,35.58 ,1.540 
0.306 ,26.09 ,39.70 ,1.750 
0.325 ,27.84 ,34.97 ,1.220 
0.343 ,31.16 ,39.80 ,0.439 
0.313 ,32.81 ,34.12 ,0.335 
0.293 ,30.93 ,37.19 ,0.332 
0.234 ,27.98 ,35.51 ,0.284 
0.168 ,27.18 ,33.14 ,0.237 
0.160 ,26.92 ,34.85 ,0.212 
0.105 ,29.03 ,40.74 ,0.179 
0.101 ,31.06 ,32.74 ,0.132 
0.092 ,26.74 ,36.77 ,0.106 
0.091 ,26.27 ,38.07 ,0.122 
0.093 ,24.62 ,45.53 ,0.140 
0.130 ,25.72 ,53.75 ,0.204 
0.162 ,26.87 ,47.58 ,0.241 
0.228 ,26.40 ,49.26 ,0.314 
0.176 ,16.99 ,67.18 ,0.177 
0.175 ,17.73 ,63.52 ,0.141 
0.046 ,14.5 ,23.90 ,0.106 
0.051 ,14.7 ,22.60 ,0.090 
0.053 ,14.6 ,23.70 ,0.095 
0.055 ,14.3 ,21.40 ,0.087 
0.068 ,14.2 ,25.30 ,0.101 
0.089 ,14.1 ,32.70 ,0.118 
0.114 ,14.6 ,40.90 ,0.152 
0.147 ,13.0 ,53.40 ,0.152 
0.161 ,12.3 ,57.00 ,0.157 
0.155 ,11.6 ,59.70 ,0.128 
0.166 ,11.6 ,60.60 ,0.133 
0.175 ,11.2 ,64.30 ,0.129 
0.183 ,11.2 ,66.30 ,0.134 
0.183 ,11.1 ,66.90 ,0.120 
0.181 ,11.0 ,68.90 ,0.122 
0.178 ,11.0 ,70.10 ,0.119 
0.173 ,10.8 ,71.20 ,0.117 
0.172 ,10.7 ,72.20 ,0.125 
0.165 ,10.7 ,73.70 ,0.094 
0.164 ,10.6 ,74.10 ,0.088 
0.157 ,10.5 ,76.10 ,0.088 
0.156 ,10.4 ,75.60 ,0.072 
0.162 ,10.4 ,75.60 ,0.065 
0.149 ,10.3 ,77.60 ,0.062 
0.141 ,10.1 ,75.90 ,0.063 
0.138 ,10.1 ,76.70 ,0.054 
0.130 ,9.9 ,76.30 ,0.092 
0.123 ,9.7 ,76.50 ,0.063 
0.119 ,10.0 ,75.50 ,0.066 
0.120 ,10.3 ,74.40 ,0.071 
0.122 ,10.2 ,76.20 ,0.087 
0.125 ,10.3 ,74.70 ,0.097 
0.123 ,10.3 ,74.20 ,0.129 
0.121 ,10.3 ,72.90 ,0.146 
0.121 ,10.8 ,71.40 ,0.184 
0.100 ,11.4 ,67.90 ,0.149 
0.087 ,12.1 ,64.50 ,0.138 
0.080 ,12.6 ,63.30 ,0.110 
0.083 ,13.1 ,66.10 ,0.105 
0.079 ,13.7 ,64.10 ,0.103 
0.070 ,14.3 ,63.90 ,0.119 
0.067 ,14.7 ,64.20 ,0.114 
0.065 ,14.9 ,62.90 ,0.107 
0.083 ,14.9 ,63.60 ,0.099 
0.089 ,14.7 ,67.10 ,0.128 
0.095 ,14.5 ,73.00 ,0.120 
0.106 ,14.1 ,75.50 ,0.141 
0.104 ,13.7 ,74.10 ,0.146 
0.109 ,13.0 ,78.10 ,0.090 
0.117 ,12.7 ,79.00 ,0.104 
0.126 ,12.7 ,80.10 ,0.081 
0.154 ,12.4 ,73.90 ,0.189 
0.127 ,13.2 ,70.50 ,0.143 
0.125 ,13.7 ,68.80 ,0.138 
0.112 ,14.4 ,64.50 ,0.149 
0.100 ,15.0 ,62.10 ,0.130 
0.089 ,15.5 ,58.40 ,0.119 
0.088 ,15.9 ,55.60 ,0.113 
0.082 ,16.1 ,52.90 ,0.126 
0.086 ,16.4 ,52.60 ,0.148 
0.088 ,16.7 ,52.00 ,0.153 
0.093 ,17.1 ,52.50 ,0.172 
0.095 ,17.5 ,52.50 ,0.164 
0.103 ,17.5 ,51.10 ,0.163 
0.110 ,17.2 ,58.40 ,0.208 
0.120 ,16.8 ,58.60 ,0.166 
0.139 ,16.4 ,61.20 ,0.190 
0.145 ,15.8 ,61.20 ,0.179 
0.130 ,15.3 ,61.90 ,0.139 
0.123 ,14.9 ,69.40 ,0.129 
0.109 ,15.0 ,69.90 ,0.133 
0.102 ,14.8 ,70.90 ,0.129 
0.103 ,14.8 ,74.20 ,0.119 
0.106 ,14.6 ,74.80 ,0.116 
0.096 ,14.3 ,75.10 ,0.112 
0.112 ,14.8 ,83.90 ,0.208 
0.081 ,14.8 ,82.90 ,0.070 
0.051 ,14.5 ,82.20 ,0.117 
0.057 ,14.6 ,80.70 ,0.174 
0.055 ,14.6 ,78.20 ,0.203 
0.050 ,14.7 ,77.50 ,0.134 
0.050 ,14.4 ,76.30 ,0.108 
0.051 ,13.6 ,76.20 ,0.347 
