,y_test,y_test_pred
0,0.128,0.177734358
1,0.085,0.087298288
2,0.119,0.116666374
3,0.0725,0.117537697
4,0.079,0.095487579
5,0.103,0.117571858
6,0.1298,0.133134729
7,0.0689,0.080576027
8,0.113,0.056599809
9,0.206,0.461633034
10,0.171,0.166695332
11,0.1272,0.129707621
12,0.1261,0.08837602
13,0.1156,0.103356366
14,0.012,0.047660599
15,0.0971,0.126061071
16,0.0863,0.094420084
17,0.107,0.11460837
18,0.15,0.125401076
19,0.078,0.111967725
20,0.11,0.118933999
21,0.079,0.09623832
22,0.143,0.12966588
23,0.07,0.074010178
24,0.087,0.08897255
25,0.114,0.11742598
26,0.15,0.18276204
27,0.1318,0.130763161
28,0.1845,0.192481456
29,0.182,0.156514471
30,0.141,0.125434977
31,0.1547,0.117084607
32,0.091,0.361955001
33,0.0896,0.125003423
34,0.1205,0.123177734
35,0.137,0.11157117
36,0.273,0.302041115
37,0.096,0.144491165
38,0.112,0.105933055
39,0.131,0.138443233
40,0.0809,0.081887019
41,0.146,0.142419677
42,0.0977,0.094420084
43,0.1308,0.146941612
44,0.11,0.299480078
45,0.19,0.13414426
46,0.113,0.098520487
47,0.093,0.115501932
48,0.071,0.088245447
49,0.322,0.302041115
50,0.146,0.13637562
51,0.108,0.08111432
52,0.0942,0.122139344
53,0.075,0.085320057
54,0.104,0.122868748
55,0.1311,0.14017138
56,0.122,0.115658722
57,0.053,0.071576052
58,0.2,0.194265517
59,0.192,0.178719154
60,0.248,0.302784361
61,0.1,0.133450781
62,0.0685,0.10388329
63,0.233,0.263053301
64,0.134,0.131674535
65,0.119,0.10296156
66,0.161,0.150041303
67,0.1238,0.129483348
68,0.0579,0.102968389
69,0.1124,0.134397086
70,0.1018,0.125075582
71,0.0914,0.116400482
72,0.109,0.148361349
73,0.119,0.078807413
74,0.1219,0.127305641
75,0.0218,0.042394672
76,0.1419,0.14816803
77,0.14,0.111313479
78,0.0462,0.057316689
79,0.107,0.145903204
80,0.154,0.211946012
81,0.094,0.109044062
82,0.096,0.09933411
83,0.156,0.176308521
84,0.091,0.121555299
85,0.092,0.095124175
86,0.115,0.122290061
87,0.151,0.130096756
88,0.0671,0.087442532
89,0.066,0.099850547
90,0.135,0.14079077
91,0.0453,0.056216536
92,0.0761,0.121044817
93,0.094,0.123438013
94,0.0754,0.091118619
95,0.0944,0.097194003
96,0.116,0.128296799
97,0.1673,0.221804545
98,0.49,0.557500686
99,0.106,0.085287387
100,0.146,0.159237432
101,0.166,0.144835409
102,0.133,0.109425248
103,0.234,0.198357856
104,0.08,0.079313646
105,0.0245,0.054808093
106,0.203,0.14727519
107,0.194,0.09609602
108,0.1239,0.132520053
109,0.1781,0.176000804
110,0.088,0.09624342
111,0.0487,0.064118412
112,0.191,0.294892484
113,0.144,0.098384237
114,0.1164,0.145379417
115,0.13,0.156419818
116,0.1061,0.097038819
117,0.752,0.56943764
118,0.112,0.297145496
119,0.1822,0.126744397
120,0.0628,0.044580364
121,0.018,0.0343435
122,0.069,0.094882437
123,0.0375,0.037633534
124,0.103,0.122156789
125,0.153,0.177845568
126,0.098,0.085320057
127,0.075,0.10850367
128,0.286,0.304978114
129,0.0795,0.102588661
130,0.058,0.128067308
131,0.469,0.473223801
132,0.1018,0.122538359
133,0.094,0.123568522
134,0.182,0.1506255
135,0.1218,0.129707621
136,0.627,0.556516441
137,0.11,0.286088507
138,0.195,0.136866916
139,0.129,0.113311225
140,0.067,0.077347589
141,0.189,0.119453966
142,0.1913,0.199791476
143,0.099,0.104903655
144,0.0946,0.112029913
145,0.0815,0.088473711
146,0.0993,0.092718615
147,0.103,0.121232426
148,0.117,0.115189127
149,0.097,0.105198675
150,0.276,0.273468804
151,0.055,0.077259614
152,0.126,0.131998151
153,0.085,0.103158621
154,0.049,0.058100814
155,0.134,0.136420655
156,0.103,0.126622068
157,0.171,0.166695332
158,0.401,0.276873063
159,0.092,0.093327379
160,0.1505,0.141957275
161,0.12,0.12568727
162,0.117,0.109800695
163,0.0257,0.042837995
164,0.835,0.614515602
165,0.147,0.148867529
166,0.199,0.145815379
167,0.108,0.123095524
168,0.139,0.131031591
169,0.644,0.560050718
170,0.437,0.393624667
171,0.102,0.090560464
172,0.531,0.63131589
173,0.187,0.119006936
174,0.163,0.135104402
175,0.097,0.115350137
176,0.142,0.215667714
177,0.0653,0.091270142
178,0.138,0.11591171
179,0.07,0.087532489
180,0.106,0.111576781
181,0.1459,0.186584864
182,0.0658,0.076249318
183,0.121,0.125994627
184,0.0964,0.124699043
185,0.0921,0.102588661
186,0.13,0.138721416
187,0.08,0.088144605
188,0.086,0.157195308
189,0.119,0.128328355
190,0.137,0.211946012
191,0.062,0.095228006
192,0.13,0.10619044
193,0.0183,0.036066969
194,0.151,0.145913493
195,0.125,0.159817984
196,0.12,0.138443233
197,0.167,0.117266149
198,0.152,0.154752399
199,0.293,0.262328061
200,0.126,0.380906652
201,0.576,0.560050718
202,0.1293,0.130258398
203,0.1167,0.135022687
204,0.122,0.121221975
205,0.112,0.272638098
206,0.114,0.08837602
207,0.1462,0.129707621
208,0.1325,0.128218133
209,0.164,0.171494513
210,0.1045,0.114032484
211,0.1096,0.126744397
212,0.1291,0.112302229
213,0.1027,0.080102845
214,0.117,0.129707621
215,0.109,0.123156532
216,0.0723,0.099537903
217,0.079,0.103158621
218,0.072,0.085320057
219,0.0692,0.079399361
220,0.0962,0.064094642
221,0.075,0.094079087
222,0.1095,0.124106999
