,y_test,y_test_pred
0,0.214,0.099
1,0.234,0.096
2,0.152,0.065
3,0.156,0.074
4,0.154,0.093
5,0.125,0.114
6,0.099,0.105
7,0.123,0.101
8,0.167,0.12
9,0.276,0.1
10,0.181,0.073
11,0.162,0.072
12,0.16,0.062
13,0.182,0.066
14,0.182,0.075
15,0.195,0.087
16,0.115,0.106
17,0.169,0.112
18,0.133,0.109
19,0.181,0.105
20,0.175,0.078
21,0.166,0.058
22,0.146,0.049
23,0.154,0.046
24,0.175,0.06
25,0.194,0.072
26,0.171,0.083
27,0.137,0.093
28,0.11,0.092
29,0.107,0.094
30,0.15,0.102
31,0.161,0.082
32,0.138,0.065
33,0.162,0.065
34,0.14,0.056
35,0.146,0.051
36,0.107,0.05
37,0.085,0.048
38,0.136,0.057
39,0.216,0.072
40,0.058,0.051
41,0.077,0.05
42,0.08,0.062
43,0.06,0.063
44,0.068,0.1
45,0.055,0.107
46,0.027,0.062
47,0.041,0.087
48,0.056,0.186
49,0.076,0.252
50,0.144,0.196
51,0.12,0.086
52,0.146,0.068
53,0.131,0.066
54,0.147,0.054
55,0.058,0.051
56,0.079,0.067
57,0.083,0.116
58,0.125,0.146
59,0.113,0.193
60,0.194,0.197
61,0.253,0.162
62,0.23,0.191
63,0.121,0.306
64,0.218,0.21
65,0.182,0.149
66,0.15,0.086
67,0.118,0.073
68,0.107,0.084
69,0.058,0.053
70,0.012,0.055
71,0.011,0.037
72,0.042,0.031
73,0.06,0.035
74,0.094,0.036
75,0.119,0.038
76,0.59,0.117
77,0.531,0.12
78,0.414,0.128
79,0.477,0.134
80,0.562,0.122
81,0.644,0.127
82,0.576,0.126
83,0.618,0.121
84,0.568,0.136
85,0.49,0.115
86,0.474,0.125
87,0.4,0.126
88,0.412,0.116
89,0.088,0.084
90,0.328,0.158
91,0.303,0.127
92,0.272,0.118
93,0.284,0.11
94,0.38,0.166
95,0.373,0.14
96,0.388,0.169
97,0.401,0.158
98,0.342,0.134
99,0.326,0.131
100,0.676,0.194
101,0.559,0.097
102,0.508,0.09
103,0.627,0.11
104,0.622,0.112
105,0.688,0.129
106,0.62,0.116
107,0.738,0.145
108,0.752,0.15
109,0.735,0.149
110,0.798,0.132
111,0.573,0.145
112,0.82,0.117
113,0.763,0.115
114,0.451,0.08
115,0.696,0.092
116,0.76,0.103
117,0.849,0.117
118,0.826,0.168
119,0.745,0.142
120,0.663,0.143
121,0.746,0.147
122,0.835,0.169
123,1.03,0.154
124,0.781,0.137
125,0.558,0.273
126,0.662,0.267
127,0.721,0.284
128,0.529,0.234
129,0.576,0.106
130,0.557,0.12
131,0.462,0.118
132,0.441,0.112
133,0.423,0.108
134,0.352,0.112
135,0.55,0.094
136,0.5,0.089
137,0.471,0.091
138,0.637,0.161
139,1.167,0.178
140,0.933,0.165
141,0.437,0.094
142,0.469,0.114
143,0.574,0.105
144,0.873,0.147
145,1.124,0.193
146,0.912,0.12
147,0.106,0.046
148,0.09,0.051
149,0.095,0.053
150,0.087,0.055
151,0.101,0.068
152,0.118,0.089
153,0.152,0.114
154,0.152,0.147
155,0.157,0.161
156,0.128,0.155
157,0.133,0.166
158,0.129,0.175
159,0.134,0.183
160,0.12,0.183
161,0.122,0.181
162,0.119,0.178
163,0.117,0.173
164,0.125,0.172
165,0.094,0.165
166,0.088,0.164
167,0.088,0.157
168,0.072,0.156
169,0.065,0.162
170,0.062,0.149
171,0.063,0.141
172,0.054,0.138
173,0.092,0.13
174,0.063,0.123
175,0.066,0.119
176,0.071,0.12
177,0.087,0.122
178,0.097,0.125
179,0.129,0.123
180,0.146,0.121
181,0.184,0.121
182,0.149,0.1
183,0.138,0.087
184,0.11,0.08
185,0.105,0.083
186,0.103,0.079
187,0.119,0.07
188,0.114,0.067
189,0.107,0.065
190,0.099,0.083
191,0.128,0.089
192,0.12,0.095
193,0.141,0.106
194,0.146,0.104
195,0.09,0.109
196,0.104,0.117
197,0.081,0.126
198,0.189,0.154
199,0.143,0.127
200,0.138,0.125
201,0.149,0.112
202,0.13,0.1
203,0.119,0.089
204,0.113,0.088
205,0.126,0.082
206,0.148,0.086
207,0.153,0.088
208,0.172,0.093
209,0.164,0.095
210,0.163,0.103
211,0.208,0.11
212,0.166,0.12
213,0.19,0.139
214,0.179,0.145
215,0.139,0.13
216,0.129,0.123
217,0.133,0.109
218,0.129,0.102
219,0.119,0.103
220,0.116,0.106
221,0.112,0.096
222,0.208,0.112
223,0.07,0.081
224,0.117,0.051
225,0.174,0.057
226,0.203,0.055
227,0.134,0.05
228,0.108,0.05
229,0.347,0.051
230,0.102,0.053
231,0.075,0.054
232,0.095,0.056
233,0.071,0.061
234,0.074,0.07
235,0.07,0.074
236,0.085,0.077
237,0.101,0.088
238,0.101,0.089
239,0.11,0.096
240,0.115,0.101
241,0.111,0.106
242,0.117,0.115
243,0.112,0.12
244,0.104,0.13
