,y_test,y_test_pred
0,0.128,0.140080843
1,0.085,0.075182661
2,0.119,0.12304035
3,0.0725,0.078347372
4,0.079,0.089019478
5,0.103,0.106633309
6,0.1298,0.138521848
7,0.0689,0.079915422
8,0.113,0.060683139
9,0.206,0.26520541
10,0.171,0.184832152
11,0.1272,0.157506712
12,0.1261,0.096245775
13,0.1156,0.113866748
14,0.012,0.031096906
15,0.0971,0.114429347
16,0.0863,0.104888223
17,0.107,0.096952486
18,0.15,0.147268619
19,0.078,0.101414377
20,0.11,0.111906133
21,0.079,0.077941012
22,0.143,0.09495028
23,0.07,0.06752863
24,0.087,0.100646228
25,0.114,0.10906762
26,0.15,0.186088921
27,0.1318,0.107187552
28,0.1845,0.179675711
29,0.182,0.1815244
30,0.141,0.145346041
31,0.1547,0.120151205
32,0.091,0.146755481
33,0.0896,0.088926862
34,0.1205,0.109728501
35,0.137,0.139096013
36,0.273,0.302533978
37,0.096,0.136456175
38,0.112,0.094799984
39,0.131,0.143762533
40,0.0809,0.084718171
41,0.146,0.156165163
42,0.0977,0.103249026
43,0.1308,0.167136616
44,0.11,0.171697866
45,0.19,0.157577543
46,0.113,0.11692496
47,0.093,0.084658305
48,0.071,0.079706097
49,0.322,0.327871247
50,0.146,0.164015144
51,0.108,0.076712709
52,0.0942,0.102200976
53,0.075,0.083746415
54,0.104,0.099039886
55,0.1311,0.153119082
56,0.122,0.088816696
57,0.053,0.068056826
58,0.2,0.192397697
59,0.192,0.180749704
60,0.248,0.238353592
61,0.1,0.119943737
62,0.0685,0.092836798
63,0.233,0.249675664
64,0.134,0.128553057
65,0.119,0.083368565
66,0.161,0.209938378
67,0.1238,0.131611049
68,0.0579,0.087820528
69,0.1124,0.095603606
70,0.1018,0.096060252
71,0.0914,0.113798906
72,0.109,0.130703259
73,0.119,0.087529171
74,0.1219,0.125365011
75,0.0218,0.029389062
76,0.1419,0.145802034
77,0.14,0.115664139
78,0.0462,0.049914769
79,0.107,0.115024083
80,0.154,0.186435373
81,0.094,0.099297922
82,0.096,0.094050581
83,0.156,0.143002287
84,0.091,0.104865414
85,0.092,0.100623477
86,0.115,0.113396603
87,0.151,0.153287649
88,0.0671,0.086857244
89,0.066,0.078213017
90,0.135,0.16483445
91,0.0453,0.06260276
92,0.0761,0.084572269
93,0.094,0.107831249
94,0.0754,0.084042806
95,0.0944,0.095562188
96,0.116,0.104844092
97,0.1673,0.186457956
98,0.49,0.422243858
99,0.106,0.079833469
100,0.146,0.159358395
101,0.166,0.157295928
102,0.133,0.143222565
103,0.234,0.191254923
104,0.08,0.071656329
105,0.0245,0.039983769
106,0.203,0.127968912
107,0.194,0.104292936
108,0.1239,0.097859142
109,0.1781,0.158368553
110,0.088,0.077661324
111,0.0487,0.062877127
112,0.191,0.245569118
113,0.144,0.17065947
114,0.1164,0.130043283
115,0.13,0.148458366
116,0.1061,0.104691186
117,0.752,0.662437704
118,0.112,0.171113199
119,0.1822,0.15156295
120,0.0628,0.055416681
121,0.018,0.02524107
122,0.069,0.09697628
123,0.0375,0.043799221
124,0.103,0.105310783
125,0.153,0.152830311
126,0.098,0.083616213
127,0.075,0.087399196
128,0.286,0.297274371
129,0.0795,0.095002883
130,0.058,0.081022971
131,0.469,0.596370641
132,0.1018,0.101587661
133,0.094,0.098666845
134,0.182,0.168144316
135,0.1218,0.138840013
136,0.627,0.482812312
137,0.11,0.168108274
138,0.195,0.169317692
139,0.129,0.12611435
140,0.067,0.068384232
141,0.189,0.158839442
142,0.1913,0.200906718
143,0.099,0.103017594
144,0.0946,0.093737136
145,0.0815,0.07634703
146,0.0993,0.098608043
147,0.103,0.129996245
148,0.117,0.098339952
149,0.097,0.107897515
150,0.276,0.267866983
151,0.055,0.095471816
152,0.126,0.147906852
153,0.085,0.10328725
154,0.049,0.042517987
155,0.134,0.13791557
156,0.103,0.109053144
157,0.171,0.175290143
158,0.401,0.261574711
159,0.092,0.083267396
160,0.1505,0.140329199
161,0.12,0.119514708
162,0.117,0.120490407
163,0.0257,0.055211617
164,0.835,0.646460407
165,0.147,0.125382
166,0.199,0.165537161
167,0.108,0.104088814
168,0.139,0.120938777
169,0.644,0.233387101
170,0.437,0.487297636
171,0.102,0.106031652
172,0.531,0.612423084
173,0.187,0.148808075
174,0.163,0.14060507
175,0.097,0.118738734
176,0.142,0.157196948
177,0.0653,0.076323916
178,0.138,0.135130288
179,0.07,0.075540343
180,0.106,0.112820309
181,0.1459,0.205160561
182,0.0658,0.074007753
183,0.121,0.107535316
184,0.0964,0.090408603
185,0.0921,0.091069078
186,0.13,0.127480182
187,0.08,0.096630477
188,0.086,0.11605455
189,0.119,0.111713433
190,0.137,0.186435373
191,0.062,0.086177597
192,0.13,0.128591872
193,0.0183,0.038382359
194,0.151,0.184350439
195,0.125,0.170554604
196,0.12,0.146518142
197,0.167,0.12685525
198,0.152,0.154377648
199,0.293,0.239924919
200,0.126,0.259313033
201,0.576,0.238607909
202,0.1293,0.115459275
203,0.1167,0.135911239
204,0.122,0.109625018
205,0.112,0.167357764
206,0.114,0.08975549
207,0.1462,0.179910621
208,0.1325,0.134442213
209,0.164,0.160228288
210,0.1045,0.116778419
211,0.1096,0.157793625
212,0.1291,0.104782163
213,0.1027,0.079124063
214,0.117,0.156549327
215,0.109,0.132994562
216,0.0723,0.08688111
217,0.079,0.102709321
218,0.072,0.083933839
219,0.0692,0.067904715
220,0.0962,0.063268778
221,0.075,0.067648321
222,0.1095,0.101826736
