173,10,,,,,,,,,
H,SO2,NO2,PM10,O3,CO,PM2.5,KSL,Tem,Hum,R
11,0.007,0.054,0.034,0.09,0.49,0.02,0.0605,27.3,55.9,0.104
12,0.007,0.064,0.035,0.096,0.519,0.019,0.063,28.2,52.6,0.086
13,0.007,0.068,0.033,0.091,0.53,0.018,0.0429,29.2,47.6,0.081
14,0.007,0.053,0.031,0.088,0.515,0.019,0.0469,29.1,48.3,0.093
15,0.007,0.06,0.04,0.08,0.655,0.018,0.0586,28.3,54.6,0.093
16,0.007,0.075,0.04,0.058,0.687,0.022,0.0606,28.1,55.1,0.106
17,0.008,0.085,0.043,0.051,0.797,0.013,0.0643,28.3,51,0.109
18,0.008,0.101,0.056,0.039,0.796,0.023,0.0774,26.6,61.4,0.094
19,0.007,0.092,0.063,0.035,0.777,0.02,0.1003,25.5,69.4,0.149
20,0.007,0.074,0.057,0.04,0.535,0.025,0.1326,24.5,75.4,0.125
21,0.007,0.08,0.068,0.04,0.587,0.033,0.1775,23.9,77.6,0.172
22,0.007,0.059,0.056,0.046,0.486,0.041,0.15,23.2,80,0.129
23,0.007,0.046,0.05,0.053,0.422,0.033,0.1762,23.1,82,0.137
0,0.007,0.031,0.04,0.065,0.281,0.033,0.1698,23.4,79.5,0.119
1,0.007,0.024,0.038,0.071,0.298,0.032,0.1636,22.7,81.8,0.104
2,0.007,0.022,0.038,0.071,0.307,0.033,0.17,22.7,82.4,0.083
3,0.007,0.023,0.036,0.074,0.286,0.028,0.1775,22.5,83.2,0.09
4,0.007,0.03,0.039,0.068,0.282,0.028,0.1791,22.7,82.3,0.099
5,0.007,0.048,0.051,0.048,0.359,0.03,0.1941,22.7,82.7,0.125
6,0.007,0.061,0.065,0.041,0.517,0.031,0.1916,23.3,81.8,0.139
7,0.007,0.064,0.056,0.042,0.626,0.03,0.1764,23.8,80.5,0.129
8,0.008,0.081,0.07,0.029,0.947,0.026,0.1667,24.1,81.9,0.151
9,0.007,0.079,0.064,0.031,0.795,0.029,0.1548,24.7,79.7,0.163
10,0.007,0.071,0.063,0.034,0.831,0.032,0.148,25.3,77.8,0.137
11,0.007,0.076,0.054,0.037,0.788,0.034,0.1486,25.2,79.2,0.117
12,0.007,0.084,0.063,0.031,0.929,0.032,0.1691,25.1,81.5,0.133
13,0.007,0.084,0.051,0.028,0.873,0.037,0.2134,24.9,87.4,0.085
14,0.007,0.083,0.045,0.026,0.915,0.039,0.24,24.8,90.2,0.089
15,0.007,0.087,0.038,0.026,1.126,0.041,0.2209,24.3,92.9,0.061
16,0.008,0.092,0.033,0.024,1.213,0.028,0.1622,23.8,89.6,0.062
17,0.008,0.077,0.024,0.03,1.028,0.027,0.1021,23.2,87.8,0.051
18,0.008,0.09,0.035,0.02,1.049,0.024,0.1147,22.7,90.4,0.09
19,0.008,0.109,0.02,0.037,0.786,0.018,0.0719,21.9,83.6,0.054
20,0.008,0.087,0.038,0.031,0.737,0.02,0.0561,20.8,91.4,0.049
21,0.007,0.081,0.031,0.032,0.662,0.018,0.0852,20.2,98.9,0.035
22,0.007,0.075,0.025,0.038,0.665,0.026,0.1008,20.6,98.5,0.028
23,0.007,0.067,0.022,0.052,0.65,0.014,0.0946,20.2,98.6,0.026
0,0.007,0.04,0.015,0.086,0.412,0.013,0.0675,19.7,96.8,0.022
1,0.007,0.029,0.013,0.09,0.362,0.014,0.0497,19.8,90.2,0.018
2,0.007,0.02,0.015,0.104,0.279,0.01,0.0333,19.5,89.4,0.021
3,0.007,0.019,0.014,0.103,0.267,0.006,0.0384,19.3,92.4,0.018
4,0.007,0.038,0.019,0.086,0.295,0.007,0.0405,19.9,90.6,0.038
5,0.007,0.049,0.024,0.074,0.299,0.008,0.0416,20,92.6,0.044
6,0.007,0.088,0.043,0.027,0.464,0.011,0.0572,20.5,91.1,0.113
7,0.007,0.091,0.052,0.029,0.614,0.013,0.0517,21.2,88.3,0.122
8,0.007,0.093,0.059,0.033,0.717,0.014,0.0477,21.6,87.4,0.128
9,0.007,0.092,0.041,0.036,0.746,0.017,0.0529,21.1,96,0.07
10,0.007,0.089,0.027,0.032,0.781,0.021,0.0616,21,99.8,0.036
11,0.007,0.078,0.021,0.066,0.674,0.016,0.0456,22.3,91.3,0.041
12,0.007,0.082,0.045,0.059,0.74,0.013,0.0532,23,84.5,0.109
13,0.007,0.082,0.047,0.051,0.682,0.019,0.0653,23.1,86,0.103
14,0.007,0.077,0.04,0.066,0.757,0.017,0.0644,24.6,77.8,0.092
15,0.007,0.08,0.038,0.067,0.677,0.013,0.0507,25.1,71.2,0.101
16,0.007,0.083,0.041,0.064,0.771,0.019,0.045,24.9,51.5,0.084
17,0.007,0.088,0.045,0.06,0.799,0.019,0.0418,25.6,59.4,0.094
18,0.007,0.081,0.051,0.063,0.711,0.013,0.0431,24.8,68.7,0.091
19,0.007,0.088,0.062,0.057,0.653,0.013,0.0528,23.4,74.9,0.115
20,0.007,0.086,0.061,0.051,0.689,0.018,0.0731,23,79,0.137
21,0.008,0.094,0.072,0.036,0.744,0.023,0.1155,22.8,81.1,0.146
22,0.008,0.082,0.068,0.049,0.634,0.026,0.1311,22.5,82.6,0.163
23,0.008,0.077,0.054,0.048,0.592,0.028,0.1228,17.1,85.7,0.128
0,0.007,0.045,0.041,0.069,0.415,0.025,0.1222,21.7,88.1,0.094
1,0.007,0.035,0.032,0.083,0.378,0.021,0.1017,21.9,88.3,0.071
2,0.007,0.024,0.029,0.091,0.302,0.016,0.0871,22.1,88.1,0.058
3,0.007,0.021,0.023,0.096,0.269,0.015,0.0825,22.2,88.3,0.046
4,0.007,0.03,0.023,0.087,0.282,0.015,0.0819,21.7,88.2,0.052
5,0.007,0.047,0.029,0.068,0.304,0.019,0.0988,22.4,89.4,0.069
6,0.007,0.062,0.041,0.051,0.423,0.022,0.1088,22.7,89.5,0.1
7,0.007,0.058,0.037,0.058,0.445,0.022,0.1068,23.1,89.7,0.075
8,0.007,0.078,0.043,0.041,0.67,0.021,0.1253,23.7,88.7,0.11
9,0.007,0.061,0.048,0.06,0.606,0.023,0.1471,24.6,85.8,0.108
10,0.007,0.056,0.043,0.064,0.58,0.027,0.1315,25.9,80.5,0.105
11,0.007,0.059,0.039,0.078,0.555,0.026,0.1078,26.9,76.5,0.086
12,0.007,0.081,0.056,0.052,0.699,0.027,0.108,26.3,82.1,0.142
13,0.007,0.071,0.052,0.06,0.653,0.032,0.1315,25.5,87,0.117
14,0.007,0.057,0.054,0.068,0.591,0.033,0.1826,25,89.8,0.125
11,0.008,0.056,0.049,0.092,0.529,0.019,0.0483,35.5,51.3,0.128
12,0.008,0.045,0.04,0.115,0.441,0.025,0.0518,35.9,50.1,0.139
13,0.008,0.046,0.042,0.119,0.474,0.026,0.0455,36.1,49.5,0.117
14,0.008,0.063,0.047,0.117,0.532,0.025,0.0478,36.6,49.2,0.121
15,0.008,0.07,0.043,0.11,0.54,0.024,0.0437,36.6,48.5,0.106
16,0.008,0.109,0.057,0.084,1.087,0.024,0.0516,36.3,50.4,0.122
17,0.009,0.116,0.056,0.073,1.088,0.027,0.0547,36.4,51.1,0.13
18,0.008,0.108,0.06,0.075,1.078,0.029,0.0631,35.9,52.3,0.142
19,0.008,0.132,0.082,0.056,1.066,0.029,0.0707,35,55.7,0.158
20,0.008,0.089,0.093,0.111,0.756,0.036,0.087,33.1,63.6,0.188
21,0.008,0.089,0.079,0.084,0.887,0.04,0.102,32.6,67.4,0.149
22,0.007,0.086,0.082,0.061,0.774,0.042,0.113,32,70.5,0.166
23,0.007,0.058,0.068,0.062,0.691,0.04,0.1256,31.4,73.6,0.152
0,0.008,0.058,0.067,0.045,0.568,0.04,0.147,31.1,74.5,0.153
1,0.008,0.058,0.05,0.041,0.618,0.041,0.1227,31.3,72.2,0.128
2,0.008,0.045,0.05,0.049,0.566,0.038,0.1032,31.4,70.3,0.111
3,0.008,0.038,0.048,0.049,0.479,0.039,0.094,31,70.9,0.1
4,0.008,0.043,0.045,0.039,0.508,0.033,0.0829,30.7,71.1,0.091
5,0.009,0.05,0.047,0.033,0.479,0.032,0.0841,30.7,70.1,0.135
6,0.01,0.057,0.054,0.029,0.566,0.031,0.0747,31.1,68.1,0.125
7,0.01,0.069,0.052,0.038,0.681,0.031,0.0782,31.9,65.3,0.127
8,0.01,0.063,0.051,0.055,0.653,0.033,0.0702,32.6,62.8,0.126
9,0.01,0.056,0.06,0.084,0.577,0.031,0.0745,33.2,60.7,0.177
10,0.009,0.057,0.055,0.096,0.62,0.035,0.0709,34.2,56.9,0.151
